0.00.035.365 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.035.751 W srv  llama_server: -----------------
0.00.035.751 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.035.752 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.035.752 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.035.752 W srv  llama_server: -----------------
0.00.036.986 I srv    load_model: loading model '/home/stanne/.lmstudio/models/unsloth/Qwen3.8-Flash-Next-GGUF/Qwen3.8-Flash-Next-UD-IQ4_XS-00001-of-00003.gguf'
0.35.719.703 I cmn          init: llama threadpool init, n_threads = 16
0.35.893.569 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.35.893.573 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.35.893.573 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.37.297.586 I srv    load_model: loaded multimodal model, '/home/stanne/.lmstudio/models/unsloth/Qwen3.8-Flash-Next-GGUF/mmproj-F16.gguf'
0.37.763.684 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 256000, kv_unified = 'true'
0.37.769.325 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.37.769.382 I srv  llama_server: model loaded
0.37.769.386 I srv  llama_server: listening on http://0.0.0.0:8080
0.37.769.387 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.37.769.387 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
1.04.332.654 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.04.332.844 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
1.12.677.328 I slot print_timing: id  3 | task 0 | n_gen =    100, tg =  18.82 t/s, tg_3s =  19.01 t/s
1.15.709.149 I slot print_timing: id  3 | task 0 | n_gen =    164, tg =  19.66 t/s, tg_3s =  21.11 t/s
1.18.502.383 I slot print_timing: id  3 | task 0 | prompt eval time =    3082.02 ms /   448 tokens (    6.88 ms per token,   145.36 tokens per second)
1.18.502.387 I slot print_timing: id  3 | task 0 |        eval time =   11086.25 ms /   223 tokens (   49.94 ms per token,    20.02 tokens per second)
1.18.502.387 I slot print_timing: id  3 | task 0 |       total time =   14168.28 ms /   671 tokens
1.18.502.395 I slot print_timing: id  3 | task 0 |    graphs reused =        221
1.18.502.469 I slot      release: id  3 | task 0 | stop processing: n_tokens = 670, truncated = 0
3.04.033.883 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
3.04.033.976 I slot launch_slot_: id  2 | task 226 | processing task, is_child = 0
3.04.138.459 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
3.04.139.667 I slot launch_slot_: id  1 | task 227 | processing task, is_child = 0
3.12.876.823 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =   2048, progress = 0.07, t =   8.74 s / 234.41 tokens per second
3.23.033.539 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =   4096, progress = 0.15, t =  18.89 s / 216.79 tokens per second
3.33.483.553 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =   6144, progress = 0.22, t =  29.34 s / 209.38 tokens per second
3.43.743.177 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =   8192, progress = 0.30, t =  39.60 s / 206.85 tokens per second
3.54.874.473 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =  10240, progress = 0.37, t =  50.73 s / 201.84 tokens per second
4.06.025.092 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =  12288, progress = 0.45, t =  61.88 s / 198.56 tokens per second
4.16.990.271 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =  14336, progress = 0.52, t =  72.85 s / 196.79 tokens per second
4.29.863.758 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =  16384, progress = 0.60, t =  85.72 s / 191.13 tokens per second
4.42.841.101 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =  18432, progress = 0.67, t =  98.70 s / 186.75 tokens per second
4.54.618.829 I slot print_timing: id  1 | task 227 | prompt processing, n_tokens =  20480, progress = 0.75, t = 110.48 s / 185.38 tokens per second
